Ticker,Sharpe Ratio
NI,1.7285184028305711
FISV,1.5306318118161846
LNT,1.5087795883419297
V,1.492454292586905
EXR,1.4653310833385442
MA,1.458309026545537
AXP,1.4550553708342855
UNH,1.4520622164286174
INTU,1.4170674272580568
TDG,1.4160032870376176
DTE,1.3588078441209892
CHRW,1.34727585017408
ROST,1.337469306715512
APA,1.331752870981554
CTL,1.322363702855239
MKC,1.3181915667273942
CNC,1.3150312052654847
SBUX,1.3088796305017874
MCD,1.2856046097130798
ADS,1.2799110229534716
ULTA,1.2796209345392897
HD,1.2793993551743041
ABBV,1.2664907070250426
EL,1.257629801803066
ROP,1.2557736871473453
ORLY,1.243778531352792
SHW,1.2434548020028473
HRL,1.2339036230865328
UNP,1.2322649134568375
COTY,1.227645557575453
WEC,1.2259884721535383
RSG,1.2241738588836184
AMZN,1.2236079936706479
